5.7000E+01	0.0000E+00	5.5930E+15	1.5000E+15	2.4460E+02	3.7530E+10	6.6900E+13	0.0000E+00	0.0000E+00
5.8000E+01	0.0000E+00	4.9170E+15	1.3190E+15	2.4240E+02	3.2990E+10	5.8810E+13	0.0000E+00	0.0000E+00
5.9000E+01	0.0000E+00	4.3170E+15	1.1580E+15	2.4020E+02	2.8970E+10	5.1640E+13	0.0000E+00	0.0000E+00
6.0000E+01	0.0000E+00	3.7860E+15	1.0160E+15	2.3810E+02	2.5400E+10	4.5280E+13	0.0000E+00	0.0000E+00
6.1000E+01	0.0000E+00	3.3150E+15	8.8940E+14	2.3600E+02	2.2250E+10	3.9650E+13	0.0000E+00	0.0000E+00
6.2000E+01	0.0000E+00	2.8990E+15	7.7770E+14	2.3400E+02	1.9460E+10	3.4680E+13	0.0000E+00	0.0000E+00
6.3000E+01	0.0000E+00	2.5320E+15	6.7830E+14	2.3210E+02	1.7000E+10	3.0280E+13	0.0000E+00	0.0000E+00
6.4000E+01	0.0000E+00	2.2080E+15	5.8990E+14	2.3020E+02	1.4850E+10	2.6400E+13	0.0000E+00	0.0000E+00
6.5000E+01	0.0000E+00	1.9220E+15	5.1230E+14	2.2850E+02	1.2950E+10	2.2980E+13	0.0000E+00	0.0000E+00
6.6000E+01	0.0000E+00	1.6710E+15	4.4420E+14	2.2690E+02	1.1270E+10	1.9980E+13	0.0000E+00	0.0000E+00
6.7000E+01	0.0000E+00	1.4510E+15	3.8460E+14	2.2540E+02	9.8020E+09	1.7340E+13	0.0000E+00	0.0000E+00
6.8000E+01	0.0000E+00	1.2580E+15	3.3260E+14	2.2400E+02	8.5100E+09	1.5030E+13	0.0000E+00	0.0000E+00
6.9000E+01	0.0000E+00	1.0890E+15	2.8710E+14	2.2280E+02	7.3770E+09	1.3010E+13	0.0000E+00	0.0000E+00
7.0000E+01	0.0000E+00	9.4130E+14	2.4760E+14	2.2170E+02	6.3870E+09	1.1250E+13	0.0000E+00	0.0000E+00
7.1000E+01	0.0000E+00	8.1270E+14	2.1320E+14	2.2080E+02	5.5220E+09	9.7070E+12	0.0000E+00	0.0000E+00
7.2000E+01	0.0000E+00	7.0080E+14	1.8330E+14	2.2000E+02	4.7690E+09	8.3680E+12	0.0000E+00	0.0000E+00
